# time,delta1,delta2,delta3,omega1,omega2,omega3,RMSE  fault_tSW=0.0120  fault_tFC=0.0150
0.000000,0.03965703,0.34436646,0.22977851,-0.00000048,0.00000380,0.00000501,0.07375690
0.001000,0.03965265,0.34436881,0.22977798,-0.00000125,0.00000485,0.00000838,0.09019865
0.002000,0.03965234,0.34436880,0.22977782,-0.00000183,0.00000548,0.00001166,0.10407746
0.003000,0.03965230,0.34436877,0.22977779,-0.00000240,0.00000610,0.00001494,0.11630604
0.004000,0.03965230,0.34436877,0.22977778,-0.00000296,0.00000672,0.00001822,0.12736020
0.005000,0.03965230,0.34436876,0.22977778,-0.00000353,0.00000733,0.00002150,0.13752325
0.006000,0.03965230,0.34436876,0.22977778,-0.00000409,0.00000795,0.00002478,0.14697999
0.007000,0.03965230,0.34436876,0.22977778,-0.00000466,0.00000857,0.00002805,0.15585890
0.008000,0.03965230,0.34436876,0.22977778,-0.00000522,0.00000918,0.00003133,0.16425355
0.009000,0.03965230,0.34436877,0.22977778,-0.00000578,0.00000980,0.00003460,0.17223464
0.010000,0.03965230,0.34436877,0.22977778,-0.00000635,0.00001041,0.00003788,0.17985710
0.011000,0.03965230,0.34436877,0.22977778,-0.00000691,0.00001103,0.00004115,0.18716463
0.012000,0.03966631,0.34440329,0.22980565,0.00570014,0.03026091,0.03485389,0.19453084
0.013000,0.03968224,0.34442844,0.22983225,0.01140566,0.06050020,0.06965692,0.20141834
0.014000,0.03969750,0.34454221,0.22994718,0.01710924,0.09074112,0.10446069,0.20800478
0.015000,0.00835722,0.20414567,0.17004902,0.01862372,0.10178414,0.13024428,0.21435916
0.016000,0.08242445,0.28637065,0.20284360,0.02989658,0.11953320,0.13554876,0.22007271
0.017000,0.09074409,0.29380285,0.21107357,0.03204101,0.12435259,0.14144294,0.22605519
0.018000,0.09228373,0.29525276,0.21266609,0.03313482,0.12826540,0.14624444,0.23188292
0.019000,0.09257803,0.29553600,0.21297734,0.03402195,0.13198818,0.15081959,0.23756337
0.020000,0.09263505,0.29559167,0.21303852,0.03486708,0.13566971,0.15534548,0.24310667
0.021000,0.09264645,0.29560310,0.21305108,0.03570323,0.13934068,0.15985877,0.24852190
0.022000,0.09264905,0.29560595,0.21305422,0.03653708,0.14300735,0.16436690,0.25381717
0.023000,0.09264995,0.29560714,0.21305553,0.03736995,0.14667094,0.16887135,0.25899975
0.024000,0.09265052,0.29560800,0.21305648,0.03820210,0.15033164,0.17337233,0.26407618
0.025000,0.09265102,0.29560880,0.21305737,0.03903357,0.15398945,0.17786983,0.26905240
0.026000,0.09265151,0.29560959,0.21305824,0.03986436,0.15764431,0.18236379,0.27393378
0.027000,0.09265200,0.29561038,0.21305910,0.04069446,0.16129616,0.18685414,0.27872522
0.028000,0.09265249,0.29561116,0.21305997,0.04152385,0.16494495,0.19134079,0.28343122
0.029000,0.09265298,0.29561194,0.21306083,0.04235253,0.16859061,0.19582369,0.28805587
0.030000,0.09265346,0.29561273,0.21306170,0.04318046,0.17223308,0.20030273,0.29260296
0.031000,0.09265395,0.29561351,0.21306256,0.04400765,0.17587229,0.20477786,0.29707599
0.032000,0.09265443,0.29561429,0.21306342,0.04483408,0.17950819,0.20924900,0.30147816
0.033000,0.09265492,0.29561507,0.21306429,0.04565973,0.18314072,0.21371607,0.30581248
0.034000,0.09265540,0.29561585,0.21306515,0.04648459,0.18676981,0.21817900,0.31008172
0.035000,0.09265589,0.29561663,0.21306601,0.04730864,0.19039541,0.22263772,0.31428846
0.036000,0.09265637,0.29561741,0.21306687,0.04813188,0.19401745,0.22709214,0.31843511
0.037000,0.09265686,0.29561818,0.21306773,0.04895428,0.19763588,0.23154220,0.32252392
0.038000,0.09265734,0.29561896,0.21306858,0.04977584,0.20125063,0.23598783,0.32655700
0.039000,0.09265782,0.29561974,0.21306944,0.05059653,0.20486165,0.24042894,0.33053633
0.040000,0.09265830,0.29562051,0.21307030,0.05141636,0.20846887,0.24486547,0.33446376
0.041000,0.09265878,0.29562129,0.21307115,0.05223529,0.21207224,0.24929735,0.33834104
0.042000,0.09265927,0.29562206,0.21307200,0.05305333,0.21567170,0.25372450,0.34216981
0.043000,0.09265975,0.29562283,0.21307286,0.05387045,0.21926719,0.25814686,0.34595162
0.044000,0.09266023,0.29562360,0.21307371,0.05468664,0.22285866,0.26256434,0.34968794
0.045000,0.09266070,0.29562437,0.21307456,0.05550189,0.22644604,0.26697688,0.35338015
0.046000,0.09266118,0.29562514,0.21307541,0.05631619,0.23002927,0.27138442,0.35702957
0.047000,0.09266166,0.29562591,0.21307626,0.05712952,0.23360831,0.27578687,0.36063743
0.048000,0.09266214,0.29562668,0.21307711,0.05794187,0.23718309,0.28018417,0.36420491
0.049000,0.09266262,0.29562745,0.21307796,0.05875323,0.24075355,0.28457625,0.36773315
0.050000,0.09266309,0.29562821,0.21307880,0.05956358,0.24431965,0.28896304,0.37122319
0.051000,0.09266357,0.29562898,0.21307965,0.06037291,0.24788132,0.29334447,0.37467606
0.052000,0.09266404,0.29562974,0.21308049,0.06118121,0.25143851,0.29772047,0.37809272
0.053000,0.09266452,0.29563051,0.21308133,0.06198846,0.25499116,0.30209098,0.38147410
0.054000,0.09266499,0.29563127,0.21308218,0.06279465,0.25853922,0.30645593,0.38482107
0.055000,0.09266546,0.29563203,0.21308302,0.06359977,0.26208264,0.31081525,0.38813447
0.056000,0.09266594,0.29563279,0.21308386,0.06440381,0.26562135,0.31516887,0.39141511
0.057000,0.09266641,0.29563355,0.21308470,0.06520675,0.26915530,0.31951673,0.39466375
0.058000,0.09266688,0.29563431,0.21308553,0.06600858,0.27268445,0.32385875,0.39788114
0.059000,0.09266735,0.29563507,0.21308637,0.06680930,0.27620874,0.32819489,0.40106797
0.060000,0.09266782,0.29563582,0.21308721,0.06760887,0.27972810,0.33252506,0.40422493
0.061000,0.09266829,0.29563658,0.21308804,0.06840731,0.28324250,0.33684920,0.40735266
0.062000,0.09266876,0.29563733,0.21308887,0.06920458,0.28675188,0.34116726,0.41045178
0.063000,0.09266923,0.29563808,0.21308970,0.07000068,0.29025618,0.34547916,0.41352290
0.064000,0.09266970,0.29563884,0.21309053,0.07079560,0.29375536,0.34978485,0.41656659
0.065000,0.09267016,0.29563959,0.21309136,0.07158933,0.29724936,0.35408425,0.41958340
0.066000,0.09267063,0.29564034,0.21309219,0.07238185,0.30073814,0.35837731,0.42257387
0.067000,0.09267109,0.29564109,0.21309302,0.07317315,0.30422163,0.36266397,0.42553850
0.068000,0.09267156,0.29564183,0.21309384,0.07396322,0.30769980,0.36694416,0.42847780
0.069000,0.09267202,0.29564258,0.21309467,0.07475205,0.31117258,0.37121781,0.43139225
0.070000,-0.00842635,0.42235523,0.32291625,0.01332547,0.39241171,0.44227490,0.43428230
0.071000,-0.44165822,0.74707373,0.56515927,-0.25304502,0.59222369,0.58165976,0.43714950
0.072000,-1.67644256,1.50332617,1.13877607,-1.02227230,1.05629802,0.90394176,0.44000317
0.073000,-2.05990132,1.12581954,1.34041861,-1.26297002,0.82314368,1.05723563,0.44289964
0.074000,-2.09627950,1.06276044,0.68154480,-1.28483606,0.80559410,0.65733675,0.44572093
0.075000,-2.44518884,0.79907604,1.05975038,-1.50864108,0.64361307,0.92536160,0.44850966
0.076000,-2.34708660,0.82218861,0.33833468,-1.44192320,0.68372934,0.47948710,0.45127962
0.077000,-2.68587253,0.61564129,0.95504848,-1.66419979,0.55471495,0.91396974,0.45402391
0.078000,-2.45009782,0.68688491,0.11231392,-1.50274714,0.63095088,0.37721382,0.45674984
0.079000,-2.85014210,0.54649037,0.93056924,-1.77219997,0.54200526,0.95915035,0.45945165
