delta1,delta2,delta3,omega1,omega2,omega3
350.21994511,8970.45958741,349.30484543,2.58914041,133.26185147,2.59462809
343.49941789,8836.13756103,351.36041391,2.63855479,135.06215973,2.51533497
355.58819128,9299.80124963,352.26226011,2.75692074,135.90393997,2.43140342
353.48749929,9482.27478481,355.86307827,2.62261205,134.85208568,2.47368144
360.32902490,9378.05401229,357.88887078,2.66148873,134.96226009,2.56444632
361.79053025,9501.76826742,356.08513254,2.56926317,134.85615258,2.75674828
358.95936006,9683.77909627,364.64722222,2.50486037,136.07843157,2.59472222
364.38813222,9828.06578735,368.80880817,2.58374427,135.27959333,2.53204107
370.74515122,10028.60424094,365.89652479,2.59250999,135.04970232,2.59848295
370.22152362,10404.24560399,367.69508869,2.44608847,134.76611698,2.77423327
370.79729976,10323.50246368,372.68648156,2.69167996,134.13430580,2.70642113
376.55532174,10375.49646174,377.24491529,2.49412229,134.24871900,2.56819507
382.92336495,10490.81605502,377.57064885,2.70575067,135.84919605,2.69539264
379.47283479,10819.97937497,378.83001949,2.74305231,135.49659338,2.64376517
387.13145850,10819.42070442,388.29274035,2.56772503,134.06411803,2.59311389
388.83820263,11052.59542898,387.28363718,2.71550927,135.35069208,2.75700723
391.87136683,11023.70072312,394.38893871,2.82842194,135.33507862,2.82658101
388.89346034,11129.79160225,389.37944095,2.59317138,133.99650537,2.65273500
391.81145296,11245.65072391,393.36651750,2.90434287,134.33858642,2.85315811
394.41942806,11580.54137994,396.09441263,2.84996526,134.17366681,2.77712331
399.05385046,11464.90822367,400.71600938,2.70513854,135.12807359,2.64372049
402.93520032,11734.14680104,401.12016506,2.73413213,134.32332238,2.72253407
402.52065995,12149.60998536,402.73197803,2.77750589,133.05315523,2.78363314
400.31347881,11820.49613830,406.79239850,2.79790583,134.25811201,2.83381836
413.62599182,12032.32208131,408.89747140,2.71320066,134.05413491,2.73126591
414.98531949,12357.24139827,409.75142339,2.85273113,133.67443086,2.87786125
413.34003675,12353.83899154,413.70924855,2.82194662,134.67238542,2.86302340
415.15280527,12454.13062448,422.65254603,2.84404876,134.25689111,3.00402012
417.84282418,12588.54016419,421.90319982,2.79043658,134.88649225,2.80160464
421.31863115,12795.52989283,423.86508390,2.81243670,134.74006116,2.94161001
423.86755598,13070.03991205,425.83616943,2.71922866,134.48738055,2.75695037
425.60840019,12943.37088187,429.44560069,2.68600738,134.41150830,2.82817182
425.48719752,13300.03437069,427.67535425,2.73277123,134.42329484,2.70442165
434.68080835,13296.32887610,434.97653602,2.71454722,133.49514751,2.75244890
433.49758314,13360.60858942,439.55217650,2.78134827,134.83576850,2.65343418
438.76133995,13465.33220444,438.71185708,2.83382725,133.92784223,2.63933250
446.21191882,13733.59180862,447.33815620,2.69416181,135.10528843,2.68355492
442.51712994,14157.67204736,444.25470236,2.68695598,136.03408862,2.55236798
449.77231885,14032.71089103,444.04874249,2.74678461,135.26452525,2.73066685
446.16854886,14287.25989747,450.03264534,2.56945368,134.17298151,2.55101206
454.50627392,14257.48570490,452.25844010,2.59349496,133.54041167,2.56857088
456.51863699,14446.35625213,463.36614197,2.76190862,134.05213993,2.44943953
456.07129498,14664.10811867,454.80150383,2.62294952,133.82266740,2.45409857
462.23328821,14959.83314222,460.88621406,2.68301146,135.11113210,2.56778556
460.26106230,14937.86912786,461.07726120,2.59556886,134.72684750,2.49232846
469.61105639,15024.41318281,466.76208922,2.69416176,134.89891155,2.59270267
469.78162569,15113.21671076,472.33262265,2.61383646,135.73663220,2.48086286
471.19121188,15325.84369003,473.50523909,2.52779091,134.15379732,2.35933581
476.74096150,15361.87245933,476.72641972,2.74608025,134.02435271,2.40872782
476.37760767,15408.97185334,487.71847903,2.57408948,134.56066210,2.71281632
475.76309089,15791.74011124,476.76401811,2.61835097,134.81145354,2.50304798
484.89413690,15843.22212700,479.31352189,2.53641838,135.60996981,2.55592860
486.86388583,15965.12180783,480.94702462,2.62422951,136.27911727,2.52498963
490.23805875,16160.74638365,488.96037706,2.62566911,134.72458386,2.61684255
489.39494863,16121.80865663,490.95167331,2.74227024,134.42562827,2.52614039
492.29717359,16432.53880262,490.20312510,2.66477552,134.51693293,2.69554863
497.64540158,16427.24111696,496.25872624,2.67192833,134.83757136,2.83758922
497.59761483,16485.07058822,497.25017050,2.62129132,134.24571556,2.82296944
502.14912088,16840.46293835,497.84547939,2.83623804,135.10294304,2.86034589
498.11362252,16790.44545300,501.01577974,2.72089028,133.53161734,2.61368990
505.28431233,17072.40556129,509.21382915,2.66121110,133.50620039,2.96964635
513.22959650,17250.06756951,516.85071799,2.69789249,134.28022354,2.94207457
512.02099675,17107.48852087,511.04435265,2.77254455,133.79779763,2.89187186
508.30479775,17322.38272981,517.66946567,2.76252024,133.42647350,2.78746520
519.71661012,17566.87883101,520.45349414,2.78741747,133.57357695,2.87816528
524.04409649,17615.04731058,516.89310611,2.71594554,134.67058840,2.84055375
520.28355309,17926.85437006,522.01020515,2.74888322,134.66598450,2.82932341
523.21610130,17938.63701656,530.00526221,2.83040661,133.85919499,2.74868905
528.77255660,18197.72779195,526.51809796,2.76834898,135.38817095,2.91967414
532.06316851,18242.04387034,531.82115236,2.75535180,134.13531174,2.92158156
535.99783209,18381.27667485,534.73729444,2.74478177,134.05501655,2.83432900
533.51135457,18396.18740502,538.46886970,2.69022768,134.89400891,2.73570107
537.08764544,18752.66207562,543.68194459,2.77322809,133.97627008,2.78728965
539.69206656,18578.20794153,541.20991959,2.80279567,134.99474571,2.75831204
540.34937907,18794.72057667,540.53061821,2.65344804,133.27558094,2.66935776
551.06913005,18990.90703765,544.72021753,2.69997712,132.98945643,2.65737816
545.85495949,19162.26286989,548.24030953,2.66638690,133.54340259,2.71977308
556.43736086,19125.43824486,553.20170421,2.56762872,134.78148088,2.35863302
556.27089564,19496.47338703,558.69149375,2.72085114,134.96239921,2.53724261
559.89197376,19492.81668296,560.27333665,2.64809854,135.37111932,2.55248283
560.95256135,19662.57441673,560.87049326,2.72053460,134.49980584,2.50812013
569.43646037,19962.60532035,564.51280065,2.56606506,133.55987610,2.42877886
565.15816574,19987.08879399,565.05017153,2.57877849,135.20565984,2.58682168
566.87161409,20074.58786123,570.07685031,2.62372976,135.30033951,2.46172721
570.67957344,20453.44339454,568.26007580,2.68230431,135.00678901,2.48803388
568.13225500,20397.82342515,571.78381362,2.58065075,134.46825722,2.59011811
574.64508599,20440.46359066,574.04928747,2.67433934,134.86034152,2.54120682
579.44122983,20693.54615161,582.06399014,2.52007900,135.62572982,2.42061149
585.54815700,20776.66379651,578.74839696,2.69809848,134.48094554,2.50830524
584.60206073,20802.99764690,588.92874055,2.46952061,135.30045211,2.55161101
588.78420980,20995.10967744,588.56371489,2.63746916,134.06747623,2.45863776
598.03198628,21173.17844967,587.98473424,2.62369061,134.41497935,2.69326217
593.03848750,21330.68379617,591.50300276,2.62578113,134.48374717,2.39016377
602.00531937,21413.78651732,595.46553327,2.49472772,134.78469269,2.50462427
592.18637240,21621.21973533,594.56925889,2.61039376,135.26178834,2.46312903
